202501448,10/24/2025 06:58:00 pm,"499 S COLLEGE AVE/UNIVERSITY AVE , COLUMBIA MO, 65201",NO,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202501448,10/24/2025 06:57:59 pm-10/24/2025 06:58:00 pm,"499 S COLLEGE AVE/UNIVERSITY AVE , COLUMBIA MO, 65201",NO,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202501447,10/24/2025 07:57:47 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,CRIMINAL SEXUAL CONTACT,CRIMINAL SEXUAL CONTACT,ACTIVE
202501447,09/04/2025 07:00:00 am-09/04/2025 07:00:00 am,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,CRIMINAL SEXUAL CONTACT,CRIMINAL SEXUAL CONTACT,ACTIVE
202501446,10/24/2025 03:28:00 pm,"901 VIRGINIA AVE , COLUMBIA MO, 65201",NO NOT APPLICABLE,LEAVING THE SCENE OF ACCIDENT,LEAVING THE SCENE OF ACCIDENT,INACTIVE (MUPD ONLY)
202501446,10/23/2025 07:41:00 pm-10/24/2025 03:28:00 pm,"901 VIRGINIA AVE , COLUMBIA MO, 65201",NO NOT APPLICABLE,LEAVING THE SCENE OF ACCIDENT,LEAVING THE SCENE OF ACCIDENT,INACTIVE (MUPD ONLY)
202501445,10/24/2025 04:44:03 pm,"904 S COLLEGE AVE , COLUMBIA MO, 65201",NO,SICK/MENTALLY ILL PERSON,SICK/MENTALLY ILL PERSON,CLOSED
202501445,10/24/2025 04:44:02 pm-10/24/2025 04:44:03 pm,"904 S COLLEGE AVE , COLUMBIA MO, 65201",NO,SICK/MENTALLY ILL PERSON,SICK/MENTALLY ILL PERSON,CLOSED
202501444,10/24/2025 07:54:00 am,"1507 CAPEN PARK DR , COLUMBIA MO, 65201",NO,LARCENY - OTHER,LARCENY - OTHER,INACTIVE (MUPD ONLY)
202501444,10/24/2025 01:00:00 am-10/24/2025 07:54:00 am,"1507 CAPEN PARK DR , COLUMBIA MO, 65201",NO,LARCENY - OTHER,LARCENY - OTHER,INACTIVE (MUPD ONLY)
202501443,10/24/2025 06:59:00 am,"711 S COLLEGE AVE/BOUCHELLE AVE , COLUMBIA MO, 65201",NO,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202501443,10/24/2025 06:57:00 am-10/24/2025 06:57:00 am,"711 S COLLEGE AVE/BOUCHELLE AVE , COLUMBIA MO, 65201",NO,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202501442,10/24/2025 05:46:43 am,"299 S NINTH ST/ELM ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,LIQUOR LAW,FORGERY,CLEARED BY ARREST
202501442,10/24/2025 05:46:42 am-10/24/2025 05:46:43 am,"299 S NINTH ST/ELM ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,LIQUOR LAW,FORGERY,CLEARED BY ARREST
202501442,10/24/2025 05:46:43 am,"299 S NINTH ST/ELM ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,FORGERY,FORGERY,CLEARED BY ARREST
202501442,10/24/2025 05:46:42 am-10/24/2025 05:46:43 am,"299 S NINTH ST/ELM ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,FORGERY,FORGERY,CLEARED BY ARREST
202501442,10/24/2025 05:46:43 am,"299 S NINTH ST/ELM ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,OTHER OFFENSE - NOT REPORTABLE,FORGERY,CLEARED BY ARREST
202501442,10/24/2025 05:46:42 am-10/24/2025 05:46:43 am,"299 S NINTH ST/ELM ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,OTHER OFFENSE - NOT REPORTABLE,FORGERY,CLEARED BY ARREST
202501441,10/24/2025 12:54:00 am,"203 N COLLEGE AVE/WINDSOR ST , COLUMBIA MO, 65201",NO,TRAFFIC OFFENSE,LIQUOR LAW,CLEARED BY ARREST
202501441,10/24/2025 12:53:59 am-10/24/2025 12:54:00 am,"203 N COLLEGE AVE/WINDSOR ST , COLUMBIA MO, 65201",NO,TRAFFIC OFFENSE,LIQUOR LAW,CLEARED BY ARREST
202501441,10/24/2025 12:54:00 am,"203 N COLLEGE AVE/WINDSOR ST , COLUMBIA MO, 65201",NO,LIQUOR LAW,LIQUOR LAW,CLEARED BY ARREST
202501441,10/24/2025 12:53:59 am-10/24/2025 12:54:00 am,"203 N COLLEGE AVE/WINDSOR ST , COLUMBIA MO, 65201",NO,LIQUOR LAW,LIQUOR LAW,CLEARED BY ARREST
202501440,10/24/2025 12:40:00 am,"99 S NINTH ST/CHERRY ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,OTHER OFFENSE - NOT REPORTABLE,FORGERY,CLEARED BY ARREST
202501440,10/24/2025 12:39:59 am-10/24/2025 12:40:00 am,"99 S NINTH ST/CHERRY ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,OTHER OFFENSE - NOT REPORTABLE,FORGERY,CLEARED BY ARREST
202501440,10/24/2025 12:40:00 am,"99 S NINTH ST/CHERRY ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,FORGERY,FORGERY,CLEARED BY ARREST
202501440,10/24/2025 12:39:59 am-10/24/2025 12:40:00 am,"99 S NINTH ST/CHERRY ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,FORGERY,FORGERY,CLEARED BY ARREST
202501439,10/24/2025 12:40:00 am,"99 S TENTH ST/CHERRY ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,OTHER OFFENSE - NOT REPORTABLE,FORGERY,CLEARED BY ARREST
202501439,10/24/2025 12:40:00 am-10/24/2025 12:40:00 am,"99 S TENTH ST/CHERRY ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,OTHER OFFENSE - NOT REPORTABLE,FORGERY,CLEARED BY ARREST
202501439,10/24/2025 12:40:00 am,"99 S TENTH ST/CHERRY ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,FORGERY,FORGERY,CLEARED BY ARREST
202501439,10/24/2025 12:40:00 am-10/24/2025 12:40:00 am,"99 S TENTH ST/CHERRY ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,FORGERY,FORGERY,CLEARED BY ARREST
202501438,10/24/2025 12:10:00 am,"99 S NINTH ST/CHERRY ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,FORGERY,FORGERY,CLEARED BY ARREST
202501438,10/24/2025 12:09:59 am-10/24/2025 12:10:00 am,"99 S NINTH ST/CHERRY ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,FORGERY,FORGERY,CLEARED BY ARREST
202501438,10/24/2025 12:10:00 am,"99 S NINTH ST/CHERRY ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,LIQUOR LAW,FORGERY,CLEARED BY ARREST
202501438,10/24/2025 12:09:59 am-10/24/2025 12:10:00 am,"99 S NINTH ST/CHERRY ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,LIQUOR LAW,FORGERY,CLEARED BY ARREST
202501438,10/24/2025 12:10:00 am,"99 S NINTH ST/CHERRY ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,DRUG - NARCOTIC,FORGERY,CLEARED BY ARREST
202501438,10/24/2025 12:09:59 am-10/24/2025 12:10:00 am,"99 S NINTH ST/CHERRY ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,DRUG - NARCOTIC,FORGERY,CLEARED BY ARREST
202501437,10/23/2025 11:49:15 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO NOT APPLICABLE,WARRANT ARREST,WARRANT ARREST,CLEARED BY ARREST
202501437,10/23/2025 11:49:14 pm-10/23/2025 11:49:15 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO NOT APPLICABLE,WARRANT ARREST,WARRANT ARREST,CLEARED BY ARREST
202501436,10/23/2025 05:02:00 pm,"815 HITT ST , COLUMBIA MO, 65201",NO,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202501436,10/23/2025 02:59:00 pm-10/23/2025 05:02:00 pm,"815 HITT ST , COLUMBIA MO, 65201",NO,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202501435,10/23/2025 03:16:00 pm,"1024 S COLLEGE AVE/HOSPITAL DR , COLUMBIA MO, 65201",NO NOT APPLICABLE,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202501435,10/23/2025 03:07:00 pm-10/23/2025 03:16:00 pm,"1024 S COLLEGE AVE/HOSPITAL DR , COLUMBIA MO, 65201",NO NOT APPLICABLE,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202501434,10/23/2025 05:08:00 am,"1024 S COLLEGE AVE/HOSPITAL DR , COLUMBIA MO, 65201",NO,WARRANT ARREST,WARRANT ARREST,CLEARED BY ARREST
202501434,10/23/2025 05:07:59 am-10/23/2025 05:08:00 am,"1024 S COLLEGE AVE/HOSPITAL DR , COLUMBIA MO, 65201",NO,WARRANT ARREST,WARRANT ARREST,CLEARED BY ARREST
202501433,10/23/2025 12:27:11 am,"402 KENTUCKY BLVD , COLUMBIA MO, 65201",NO,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202501433,10/23/2025 12:27:10 am-10/23/2025 12:27:11 am,"402 KENTUCKY BLVD , COLUMBIA MO, 65201",NO,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202501432,10/22/2025 11:02:00 pm,"1089 ROLLINS ST/HITT ST , COLUMBIA MO, 65201",NO,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST
202501432,10/22/2025 11:01:59 pm-10/22/2025 11:02:00 pm,"1089 ROLLINS ST/HITT ST , COLUMBIA MO, 65201",NO,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST
202501432,10/22/2025 11:02:00 pm,"1089 ROLLINS ST/HITT ST , COLUMBIA MO, 65201",NO,WARRANT ARREST,TRAFFIC OFFENSE,CLEARED BY ARREST
202501432,10/22/2025 11:01:59 pm-10/22/2025 11:02:00 pm,"1089 ROLLINS ST/HITT ST , COLUMBIA MO, 65201",NO,WARRANT ARREST,TRAFFIC OFFENSE,CLEARED BY ARREST
202501431,10/22/2025 04:56:00 pm,"699 S FOURTH ST/TURNER AVE , COLUMBIA MO, 65201",NO,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202501431,10/22/2025 12:00:00 am-10/22/2025 04:56:00 pm,"699 S FOURTH ST/TURNER AVE , COLUMBIA MO, 65201",NO,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202501430,10/22/2025 04:17:00 pm,"1299 UNIVERSITY AVE/S COLLEGE AVE , COLUMBIA MO, 65201",NO,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202501430,10/22/2025 04:16:59 pm-10/22/2025 04:17:00 pm,"1299 UNIVERSITY AVE/S COLLEGE AVE , COLUMBIA MO, 65201",NO,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202501429,10/22/2025 09:09:00 am,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,LARCENY - THEFT FROM BUILDING,LARCENY - THEFT FROM BUILDING,ACTIVE
202501429,07/20/2025 12:30:00 pm-07/22/2025 10:00:00 am,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,LARCENY - THEFT FROM BUILDING,LARCENY - THEFT FROM BUILDING,ACTIVE
202501428,10/21/2025 05:06:00 pm,"999 E STADIUM BLVD/CHAMPIONS DR , COLUMBIA MO, 65201",NO,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202501428,10/21/2025 05:03:00 pm-10/21/2025 05:03:00 pm,"999 E STADIUM BLVD/CHAMPIONS DR , COLUMBIA MO, 65201",NO,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202501427,10/21/2025 07:50:00 pm,"3 HOSPITAL DR , COLUMBIA MO, 65201",NO,ASSAULT-SIMPLE,ASSAULT-SIMPLE,CLEARED BY ARREST
202501427,10/21/2025 07:30:00 pm-10/21/2025 07:31:00 pm,"3 HOSPITAL DR , COLUMBIA MO, 65201",NO,ASSAULT-SIMPLE,ASSAULT-SIMPLE,CLEARED BY ARREST
202501426,10/21/2025 07:19:00 pm,"603 KENTUCKY BLVD , COLUMBIA MO, 65201",NO,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202501426,10/21/2025 07:18:59 pm-10/21/2025 07:19:00 pm,"603 KENTUCKY BLVD , COLUMBIA MO, 65201",NO,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202501425,10/21/2025 05:26:00 pm,"1024 ASHLAND RD , COLUMBIA MO, 65201",NO,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202501425,10/20/2025 05:25:59 pm-10/21/2025 05:26:00 pm,"1024 ASHLAND RD , COLUMBIA MO, 65201",NO,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202501424,10/21/2025 02:09:00 pm,"940 CONLEY AVE , COLUMBIA MO, 65201",NO NOT APPLICABLE,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202501424,10/21/2025 01:50:00 pm-10/21/2025 01:56:00 pm,"940 CONLEY AVE , COLUMBIA MO, 65201",NO NOT APPLICABLE,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202501423,10/21/2025 12:25:00 pm,"805 ROLLINS ST , COLUMBIA MO, 65201",NO,SICK/MENTALLY ILL PERSON,SICK/MENTALLY ILL PERSON,CLOSED
202501423,10/21/2025 12:25:00 pm-10/21/2025 12:25:00 pm,"805 ROLLINS ST , COLUMBIA MO, 65201",NO,SICK/MENTALLY ILL PERSON,SICK/MENTALLY ILL PERSON,CLOSED
202501422,10/21/2025 10:28:00 am,"551 VETERANS UNITED DR , COLUMBIA MO, 65201",NO,SICK/MENTALLY ILL PERSON,SICK/MENTALLY ILL PERSON,CLOSED
202501422,10/21/2025 10:28:00 am-10/21/2025 10:28:00 am,"551 VETERANS UNITED DR , COLUMBIA MO, 65201",NO,SICK/MENTALLY ILL PERSON,SICK/MENTALLY ILL PERSON,CLOSED
202501421,10/20/2025 07:47:00 pm,"1007 TIGER AVE , COLUMBIA MO, 65201",NO,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202501421,10/20/2025 07:46:59 pm-10/20/2025 07:47:00 pm,"1007 TIGER AVE , COLUMBIA MO, 65201",NO,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202501420,10/20/2025 01:44:00 pm,"311 S SIXTH ST , COLUMBIA MO, 65201",NO,LARCENY - OTHER,LARCENY - OTHER,INACTIVE (MUPD ONLY)
202501420,10/19/2025 04:30:00 am-10/20/2025 01:44:00 pm,"311 S SIXTH ST , COLUMBIA MO, 65201",NO,LARCENY - OTHER,LARCENY - OTHER,INACTIVE (MUPD ONLY)
202501419,10/19/2025 07:08:00 pm,"904 VIRGINIA AVE , COLUMBIA MO, 65201",NO NOT APPLICABLE,SICK/MENTALLY ILL PERSON,SICK/MENTALLY ILL PERSON,CLOSED
202501419,10/19/2025 07:00:00 pm-10/19/2025 07:00:00 pm,"904 VIRGINIA AVE , COLUMBIA MO, 65201",NO NOT APPLICABLE,SICK/MENTALLY ILL PERSON,SICK/MENTALLY ILL PERSON,CLOSED
202501418,10/19/2025 06:01:00 pm,"999 E STADIUM BLVD/CHAMPIONS DR , COLUMBIA MO, 65201",NO NOT APPLICABLE,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202501418,10/19/2025 05:50:00 pm-10/19/2025 06:01:00 pm,"999 E STADIUM BLVD/CHAMPIONS DR , COLUMBIA MO, 65201",NO NOT APPLICABLE,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202501417,10/19/2025 03:54:00 am,"1306 ROLLINS ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,LIQUOR LAW,LIQUOR LAW,EXCEPTIONALLY CLEARED
202501417,10/19/2025 03:54:00 am-10/19/2025 03:54:00 am,"1306 ROLLINS ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,LIQUOR LAW,LIQUOR LAW,EXCEPTIONALLY CLEARED
202501416,10/19/2025 03:49:00 am,"1306 ROLLINS ST , COLUMBIA MO, 65201",NO,SICK/MENTALLY ILL PERSON,SICK/MENTALLY ILL PERSON,CLOSED
202501416,10/19/2025 03:49:00 am-10/19/2025 03:49:00 am,"1306 ROLLINS ST , COLUMBIA MO, 65201",NO,SICK/MENTALLY ILL PERSON,SICK/MENTALLY ILL PERSON,CLOSED
202501415,10/19/2025 12:58:00 am,"199 HITT ST/LOCUST ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,DWI,DWI,CLEARED BY ARREST
202501415,10/19/2025 12:57:59 am-10/19/2025 12:58:00 am,"199 HITT ST/LOCUST ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,DWI,DWI,CLEARED BY ARREST
202501415,10/19/2025 12:58:00 am,"199 HITT ST/LOCUST ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,TRAFFIC OFFENSE,DWI,CLEARED BY ARREST
202501415,10/19/2025 12:57:59 am-10/19/2025 12:58:00 am,"199 HITT ST/LOCUST ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,TRAFFIC OFFENSE,DWI,CLEARED BY ARREST
202501414,10/19/2025 12:00:00 am,"999 ELM ST/WATSON PL , COLUMBIA MO, 65201",NO NOT APPLICABLE,FORGERY,FORGERY,CLEARED BY ARREST
202501414,10/18/2025 11:59:59 pm-10/19/2025 12:00:00 am,"999 ELM ST/WATSON PL , COLUMBIA MO, 65201",NO NOT APPLICABLE,FORGERY,FORGERY,CLEARED BY ARREST
202501414,10/19/2025 12:00:00 am,"999 ELM ST/WATSON PL , COLUMBIA MO, 65201",NO NOT APPLICABLE,LIQUOR LAW,FORGERY,CLEARED BY ARREST
202501414,10/18/2025 11:59:59 pm-10/19/2025 12:00:00 am,"999 ELM ST/WATSON PL , COLUMBIA MO, 65201",NO NOT APPLICABLE,LIQUOR LAW,FORGERY,CLEARED BY ARREST
202501413,10/18/2025 05:02:00 pm,"905 HITT ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,SICK/MENTALLY ILL PERSON,SICK/MENTALLY ILL PERSON,CLOSED
202501413,10/18/2025 05:01:59 pm-10/18/2025 05:02:00 pm,"905 HITT ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,SICK/MENTALLY ILL PERSON,SICK/MENTALLY ILL PERSON,CLOSED
202501412,10/17/2025 02:44:00 pm,"1202 ROLLINS ST , COLUMBIA MO, 65201",NO,HARASSMENT,HARASSMENT,INACTIVE (MUPD ONLY)
202501412,10/14/2025 02:44:00 pm-10/17/2025 02:44:00 pm,"1202 ROLLINS ST , COLUMBIA MO, 65201",NO,HARASSMENT,HARASSMENT,INACTIVE (MUPD ONLY)
202501411,10/18/2025 09:24:00 am,"1299 HOSPITAL DR/S COLLEGE AVE , COLUMBIA MO, 65201",YES SPOUSES,DWI,DWI,CLEARED BY ARREST
202501411,10/18/2025 09:23:59 am-10/18/2025 09:24:00 am,"1299 HOSPITAL DR/S COLLEGE AVE , COLUMBIA MO, 65201",YES SPOUSES,DWI,DWI,CLEARED BY ARREST
202501411,10/18/2025 09:24:00 am,"1299 HOSPITAL DR/S COLLEGE AVE , COLUMBIA MO, 65201",YES SPOUSES,TRAFFIC OFFENSE,DWI,CLEARED BY ARREST
202501411,10/18/2025 09:23:59 am-10/18/2025 09:24:00 am,"1299 HOSPITAL DR/S COLLEGE AVE , COLUMBIA MO, 65201",YES SPOUSES,TRAFFIC OFFENSE,DWI,CLEARED BY ARREST
202501410,10/17/2025 08:05:00 pm,"901 VIRGINIA AVE , COLUMBIA MO, 65201",NO,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202501410,04/07/2025 12:00:00 am-04/07/2025 12:00:00 am,"901 VIRGINIA AVE , COLUMBIA MO, 65201",NO,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202501409,10/17/2025 03:01:00 pm,"904 S COLLEGE AVE , COLUMBIA MO, 65201",NO,PROPERTY DAMAGE,ASSAULT-SIMPLE,ACTIVE
202501409,10/16/2025 06:21:00 am-10/16/2025 07:23:00 am,"904 S COLLEGE AVE , COLUMBIA MO, 65201",NO,PROPERTY DAMAGE,ASSAULT-SIMPLE,ACTIVE
202501409,10/17/2025 03:01:00 pm,"904 S COLLEGE AVE , COLUMBIA MO, 65201",NO,BURGLARY,ASSAULT-SIMPLE,ACTIVE
202501409,10/16/2025 06:21:00 am-10/16/2025 07:23:00 am,"904 S COLLEGE AVE , COLUMBIA MO, 65201",NO,BURGLARY,ASSAULT-SIMPLE,ACTIVE
202501409,10/17/2025 03:01:00 pm,"904 S COLLEGE AVE , COLUMBIA MO, 65201",NO,ASSAULT-SIMPLE,ASSAULT-SIMPLE,ACTIVE
202501409,10/16/2025 06:21:00 am-10/16/2025 07:23:00 am,"904 S COLLEGE AVE , COLUMBIA MO, 65201",NO,ASSAULT-SIMPLE,ASSAULT-SIMPLE,ACTIVE
202501408,10/17/2025 01:49:00 am,"905 HITT ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,HARASSMENT,PROPERTY DAMAGE,EXCEPTIONALLY CLEARED
202501408,10/17/2025 01:48:59 am-10/17/2025 01:49:00 am,"905 HITT ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,HARASSMENT,PROPERTY DAMAGE,EXCEPTIONALLY CLEARED
202501408,10/17/2025 01:49:00 am,"905 HITT ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,PROPERTY DAMAGE,PROPERTY DAMAGE,EXCEPTIONALLY CLEARED
202501408,10/17/2025 01:48:59 am-10/17/2025 01:49:00 am,"905 HITT ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,PROPERTY DAMAGE,PROPERTY DAMAGE,EXCEPTIONALLY CLEARED
202501407,10/16/2025 11:52:00 pm,"599 ROLLINS ST/RICHMOND AVE , COLUMBIA MO, 65201",NO NOT APPLICABLE,LEAVING THE SCENE OF ACCIDENT,LEAVING THE SCENE OF ACCIDENT,EXCEPTIONALLY CLEARED
202501407,10/16/2025 11:51:59 pm-10/16/2025 11:52:00 pm,"599 ROLLINS ST/RICHMOND AVE , COLUMBIA MO, 65201",NO NOT APPLICABLE,LEAVING THE SCENE OF ACCIDENT,LEAVING THE SCENE OF ACCIDENT,EXCEPTIONALLY CLEARED
202501406,10/16/2025 05:44:48 pm,"601 TURNER AVE , COLUMBIA MO, 65201",NO NOT APPLICABLE,LEAVING THE SCENE OF ACCIDENT,LEAVING THE SCENE OF ACCIDENT,EXCEPTIONALLY CLEARED
202501406,10/16/2025 10:46:00 am-10/16/2025 05:44:00 pm,"601 TURNER AVE , COLUMBIA MO, 65201",NO NOT APPLICABLE,LEAVING THE SCENE OF ACCIDENT,LEAVING THE SCENE OF ACCIDENT,EXCEPTIONALLY CLEARED
202501405,10/16/2025 04:03:00 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202501405,10/16/2025 03:41:00 pm-10/16/2025 04:03:00 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202501404,10/16/2025 02:18:56 pm,"805 ROLLINS ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,PROPERTY DAMAGE,PROPERTY DAMAGE,INACTIVE (MUPD ONLY)
202501404,10/16/2025 02:00:55 pm-10/16/2025 02:00:56 pm,"805 ROLLINS ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,PROPERTY DAMAGE,PROPERTY DAMAGE,INACTIVE (MUPD ONLY)
202501403,10/16/2025 01:24:00 am,"851 CHAMPIONS DR , COLUMBIA MO, 65201",NO NOT APPLICABLE,WIRE FRAUD,WIRE FRAUD,INACTIVE (MUPD ONLY)
202501403,10/16/2025 01:23:59 am-10/16/2025 01:24:00 am,"851 CHAMPIONS DR , COLUMBIA MO, 65201",NO NOT APPLICABLE,WIRE FRAUD,WIRE FRAUD,INACTIVE (MUPD ONLY)
202501402,10/15/2025 09:53:00 pm,"901 VIRGINIA AVE , COLUMBIA MO, 65201",NO,LEAVING THE SCENE OF ACCIDENT,LEAVING THE SCENE OF ACCIDENT,INACTIVE (MUPD ONLY)
202501402,10/15/2025 07:30:00 pm-10/15/2025 09:00:00 pm,"901 VIRGINIA AVE , COLUMBIA MO, 65201",NO,LEAVING THE SCENE OF ACCIDENT,LEAVING THE SCENE OF ACCIDENT,INACTIVE (MUPD ONLY)
202501401,10/15/2025 05:46:00 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,CREDIT CARD/ATM (MACHINE) FRAUD,CREDIT CARD/ATM (MACHINE) FRAUD,INACTIVE (MUPD ONLY)
202501401,10/15/2025 12:00:00 pm-10/15/2025 05:46:00 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,CREDIT CARD/ATM (MACHINE) FRAUD,CREDIT CARD/ATM (MACHINE) FRAUD,INACTIVE (MUPD ONLY)
202501400,10/15/2025 05:11:00 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO NOT APPLICABLE,WEAPONS LAW,ASSAULT-AGGRAVATED,CLEARED BY ARREST
202501400,10/15/2025 05:09:00 pm-10/15/2025 05:10:00 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO NOT APPLICABLE,WEAPONS LAW,ASSAULT-AGGRAVATED,CLEARED BY ARREST
202501400,10/15/2025 05:11:00 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO NOT APPLICABLE,ASSAULT-AGGRAVATED,ASSAULT-AGGRAVATED,CLEARED BY ARREST
202501400,10/15/2025 05:09:00 pm-10/15/2025 05:10:00 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO NOT APPLICABLE,ASSAULT-AGGRAVATED,ASSAULT-AGGRAVATED,CLEARED BY ARREST
202501399,10/15/2025 05:23:00 pm,"1199 MONK DR/E STADIUM BLVD , COLUMBIA MO, 65201",NO,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202501399,10/15/2025 05:21:00 pm-10/15/2025 05:21:00 pm,"1199 MONK DR/E STADIUM BLVD , COLUMBIA MO, 65201",NO,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202501398,10/15/2025 05:13:00 pm,"599 S SIXTH ST/CONLEY AVE , COLUMBIA MO, 65201",NO,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202501398,10/15/2025 05:11:00 pm-10/15/2025 05:13:00 pm,"599 S SIXTH ST/CONLEY AVE , COLUMBIA MO, 65201",NO,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202501397,10/15/2025 03:30:00 pm,"1095 VIRGINIA AVE , COLUMBIA MO, 65201",NO,LEAVING THE SCENE OF ACCIDENT,LEAVING THE SCENE OF ACCIDENT,CLEARED BY ARREST
202501397,10/15/2025 03:08:59 pm-10/15/2025 03:30:00 pm,"1095 VIRGINIA AVE , COLUMBIA MO, 65201",NO,LEAVING THE SCENE OF ACCIDENT,LEAVING THE SCENE OF ACCIDENT,CLEARED BY ARREST
202501396,10/15/2025 01:55:00 pm,"1095 VIRGINIA AVE , COLUMBIA MO, 65201",NO,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202501396,10/15/2025 01:42:00 pm-10/15/2025 01:42:00 pm,"1095 VIRGINIA AVE , COLUMBIA MO, 65201",NO,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
